Index,Stopwords,Parameters,Score,k_1,k_2,k_3,k_max,k_min
21,No stopwords,"{'vect__ngram_range': (1, 4), 'clf__metric': 'l1', 'vect__stop_words': None, 'vect__max_df': 0.7, 'tfidf__use_idf': False, 'tfidf__norm': 'l2', 'vect__max_features': 5000}",0.243068988,0.27992278,0.22630561,0.22286822,0.27992278,0.22286822
22,No stopwords,"{'vect__ngram_range': (1, 3), 'clf__metric': 'l1', 'vect__stop_words': None, 'vect__max_df': 1.0, 'tfidf__use_idf': False, 'tfidf__norm': 'l2', 'vect__max_features': 5000}",0.243068988,0.28185328,0.22437137,0.22286822,0.28185328,0.22286822
23,No stopwords,"{'vect__ngram_range': (1, 3), 'clf__metric': 'l1', 'vect__stop_words': None, 'vect__max_df': 0.85, 'tfidf__use_idf': False, 'tfidf__norm': 'l2', 'vect__max_features': 5000}",0.247582205,0.29343629,0.22630561,0.22286822,0.29343629,0.22286822
24,No stopwords,"{'vect__ngram_range': (1, 3), 'clf__metric': 'l1', 'vect__stop_words': None, 'vect__max_df': 0.7, 'tfidf__use_idf': False, 'tfidf__norm': 'l2', 'vect__max_features': 5000}",0.252095422,0.30501931,0.22823985,0.22286822,0.30501931,0.22286822
25,Stopwords,"{'vect__ngram_range': (1, 4), 'clf__metric': 'l1', 'vect__stop_words': ['el', 'la', 'de', 'que', 'y', 'a', 'en', 'un', 'ser', 'se', 'no', 'haber', 'por', 'con', 'su', 'para', 'como', 'estar', 'tener', 'le', 'lo', 'lo', 'todo', 'pero', 'mas', 'hacer', 'o', 'decir', 'este', 'ir', 'otro', 'ese', 'la', 'si', 'me', 'ya', 'ver', 'porque', 'dar', 'cuando', 'el', 'muy', 'sin', 'vez', 'mucho', 'saber', 'que', 'sobre', 'mi', 'alguno', 'mismo', 'yo', 'tambien', 'hasta', 'ano', 'dos', 'querer', 'entre', 'asi', 'primero', 'desde', 'grande', 'eso', 'ni', 'nos', 'llegar', 'pasar', 'tiempo', 'ella', 'si', 'dia', 'uno', 'bien', 'poco', 'deber', 'entonces', 'poner', 'cosa', 'tanto', 'hombre', 'parecer', 'nuestro', 'tan', 'donde', 'ahora', 'parte', 'despues', 'vida', 'quedar', 'siempre', 'creer', 'hablar', 'llevar', 'dejar', 'nada', 'cada', 'seguir', 'menos', 'nuevo', 'encontrar', 'dijo', 'los', 'del', 'al', 'las', 'una'], 'vect__max_df': 0.7, 'tfidf__use_idf': False, 'tfidf__norm': 'l2', 'vect__max_features': 5000}",0.268214055,0.34749035,0.22823985,0.22868217,0.34749035,0.22823985
26,Stopwords,"{'vect__ngram_range': (1, 4), 'clf__metric': 'l1', 'vect__stop_words': ['el', 'la', 'de', 'que', 'y', 'a', 'en', 'un', 'ser', 'se', 'no', 'haber', 'por', 'con', 'su', 'para', 'como', 'estar', 'tener', 'le', 'lo', 'lo', 'todo', 'pero', 'mas', 'hacer', 'o', 'decir', 'este', 'ir', 'otro', 'ese', 'la', 'si', 'me', 'ya', 'ver', 'porque', 'dar', 'cuando', 'el', 'muy', 'sin', 'vez', 'mucho', 'saber', 'que', 'sobre', 'mi', 'alguno', 'mismo', 'yo', 'tambien', 'hasta', 'ano', 'dos', 'querer', 'entre', 'asi', 'primero', 'desde', 'grande', 'eso', 'ni', 'nos', 'llegar', 'pasar', 'tiempo', 'ella', 'si', 'dia', 'uno', 'bien', 'poco', 'deber', 'entonces', 'poner', 'cosa', 'tanto', 'hombre', 'parecer', 'nuestro', 'tan', 'donde', 'ahora', 'parte', 'despues', 'vida', 'quedar', 'siempre', 'creer', 'hablar', 'llevar', 'dejar', 'nada', 'cada', 'seguir', 'menos', 'nuevo', 'encontrar', 'dijo', 'los', 'del', 'al', 'las', 'una'], 'vect__max_df': 0.85, 'tfidf__use_idf': False, 'tfidf__norm': 'l2', 'vect__max_features': 5000}",0.268214055,0.34749035,0.22823985,0.22868217,0.34749035,0.22823985
27,Stopwords,"{'vect__ngram_range': (1, 4), 'clf__metric': 'l1', 'vect__stop_words': ['el', 'la', 'de', 'que', 'y', 'a', 'en', 'un', 'ser', 'se', 'no', 'haber', 'por', 'con', 'su', 'para', 'como', 'estar', 'tener', 'le', 'lo', 'lo', 'todo', 'pero', 'mas', 'hacer', 'o', 'decir', 'este', 'ir', 'otro', 'ese', 'la', 'si', 'me', 'ya', 'ver', 'porque', 'dar', 'cuando', 'el', 'muy', 'sin', 'vez', 'mucho', 'saber', 'que', 'sobre', 'mi', 'alguno', 'mismo', 'yo', 'tambien', 'hasta', 'ano', 'dos', 'querer', 'entre', 'asi', 'primero', 'desde', 'grande', 'eso', 'ni', 'nos', 'llegar', 'pasar', 'tiempo', 'ella', 'si', 'dia', 'uno', 'bien', 'poco', 'deber', 'entonces', 'poner', 'cosa', 'tanto', 'hombre', 'parecer', 'nuestro', 'tan', 'donde', 'ahora', 'parte', 'despues', 'vida', 'quedar', 'siempre', 'creer', 'hablar', 'llevar', 'dejar', 'nada', 'cada', 'seguir', 'menos', 'nuevo', 'encontrar', 'dijo', 'los', 'del', 'al', 'las', 'una'], 'vect__max_df': 1.0, 'tfidf__use_idf': False, 'tfidf__norm': 'l2', 'vect__max_features': 5000}",0.268214055,0.34749035,0.22823985,0.22868217,0.34749035,0.22823985
28,No stopwords,"{'vect__ngram_range': (1, 4), 'clf__metric': 'l1', 'vect__stop_words': None, 'vect__max_df': 1.0, 'tfidf__use_idf': False, 'tfidf__norm': 'l2', 'vect__max_features': 1000}",0.268858801,0.33976834,0.23597679,0.23062016,0.33976834,0.23062016
29,No stopwords,"{'vect__ngram_range': (1, 2), 'clf__metric': 'l1', 'vect__stop_words': None, 'vect__max_df': 1.0, 'tfidf__use_idf': False, 'tfidf__norm': 'l2', 'vect__max_features': 5000}",0.268858801,0.34749035,0.23404255,0.2248062,0.34749035,0.2248062
30,No stopwords,"{'vect__ngram_range': (1, 3), 'clf__metric': 'l1', 'vect__stop_words': None, 'vect__max_df': 1.0, 'tfidf__use_idf': False, 'tfidf__norm': 'l2', 'vect__max_features': 1000}",0.269503546,0.34169884,0.23404255,0.23255814,0.34169884,0.23255814
31,No stopwords,"{'vect__ngram_range': (1, 2), 'clf__metric': 'l1', 'vect__stop_words': None, 'vect__max_df': 0.7, 'tfidf__use_idf': False, 'tfidf__norm': 'l2', 'vect__max_features': 5000}",0.271437782,0.35521236,0.23210832,0.22674419,0.35521236,0.22674419
32,No stopwords,"{'vect__ngram_range': (1, 2), 'clf__metric': 'l1', 'vect__stop_words': None, 'vect__max_df': 0.85, 'tfidf__use_idf': False, 'tfidf__norm': 'l2', 'vect__max_features': 5000}",0.272082527,0.35714286,0.23210832,0.22674419,0.35714286,0.22674419
33,Stopwords,"{'vect__ngram_range': (1, 3), 'clf__metric': 'l1', 'vect__stop_words': ['el', 'la', 'de', 'que', 'y', 'a', 'en', 'un', 'ser', 'se', 'no', 'haber', 'por', 'con', 'su', 'para', 'como', 'estar', 'tener', 'le', 'lo', 'lo', 'todo', 'pero', 'mas', 'hacer', 'o', 'decir', 'este', 'ir', 'otro', 'ese', 'la', 'si', 'me', 'ya', 'ver', 'porque', 'dar', 'cuando', 'el', 'muy', 'sin', 'vez', 'mucho', 'saber', 'que', 'sobre', 'mi', 'alguno', 'mismo', 'yo', 'tambien', 'hasta', 'ano', 'dos', 'querer', 'entre', 'asi', 'primero', 'desde', 'grande', 'eso', 'ni', 'nos', 'llegar', 'pasar', 'tiempo', 'ella', 'si', 'dia', 'uno', 'bien', 'poco', 'deber', 'entonces', 'poner', 'cosa', 'tanto', 'hombre', 'parecer', 'nuestro', 'tan', 'donde', 'ahora', 'parte', 'despues', 'vida', 'quedar', 'siempre', 'creer', 'hablar', 'llevar', 'dejar', 'nada', 'cada', 'seguir', 'menos', 'nuevo', 'encontrar', 'dijo', 'los', 'del', 'al', 'las', 'una'], 'vect__max_df': 0.7, 'tfidf__use_idf': False, 'tfidf__norm': 'l2', 'vect__max_features': 5000}",0.272727273,0.35714286,0.22823985,0.23255814,0.35714286,0.22823985
34,Stopwords,"{'vect__ngram_range': (1, 3), 'clf__metric': 'l1', 'vect__stop_words': ['el', 'la', 'de', 'que', 'y', 'a', 'en', 'un', 'ser', 'se', 'no', 'haber', 'por', 'con', 'su', 'para', 'como', 'estar', 'tener', 'le', 'lo', 'lo', 'todo', 'pero', 'mas', 'hacer', 'o', 'decir', 'este', 'ir', 'otro', 'ese', 'la', 'si', 'me', 'ya', 'ver', 'porque', 'dar', 'cuando', 'el', 'muy', 'sin', 'vez', 'mucho', 'saber', 'que', 'sobre', 'mi', 'alguno', 'mismo', 'yo', 'tambien', 'hasta', 'ano', 'dos', 'querer', 'entre', 'asi', 'primero', 'desde', 'grande', 'eso', 'ni', 'nos', 'llegar', 'pasar', 'tiempo', 'ella', 'si', 'dia', 'uno', 'bien', 'poco', 'deber', 'entonces', 'poner', 'cosa', 'tanto', 'hombre', 'parecer', 'nuestro', 'tan', 'donde', 'ahora', 'parte', 'despues', 'vida', 'quedar', 'siempre', 'creer', 'hablar', 'llevar', 'dejar', 'nada', 'cada', 'seguir', 'menos', 'nuevo', 'encontrar', 'dijo', 'los', 'del', 'al', 'las', 'una'], 'vect__max_df': 0.85, 'tfidf__use_idf': False, 'tfidf__norm': 'l2', 'vect__max_features': 5000}",0.272727273,0.35714286,0.22823985,0.23255814,0.35714286,0.22823985
